quadrat_id,species_ids_5x5,species_ids_7x7,species_ids_9x9,species_ids
2024-CEV3-20240602,"[1360187, 1362443, 1392598, 1392608, 1394636, 1396481]","[1360187, 1360193, 1360203, 1360208, 1360217, 1360307, 1362443, 1363901, 1395045, 1395990, 1398272]","[1360193, 1360208, 1360222, 1360304, 1360307, 1362363, 1362443, 1391360, 1395045, 1395114, 1397516, 1413421, 1738042]","[1398272, 1396481, 1391360, 1362443, 1397516, 1395990, 1395114, 1413421, 1360304, 1360307, 1738042, 1362363, 1360187, 1363901, 1360193, 1360203, 1394636, 1360208, 1392598, 1360217, 1360222, 1392608, 1395045]"
CBN-PdlC-A1-20130807,"[1396471, 1742052]","[1396185, 1396471, 1396869]","[1394641, 1396185, 1396471, 1396869, 1412857, 1489036, 1722444, 1742052]","[1742052, 1396869, 1489036, 1722444, 1394641, 1412857, 1396471, 1396185]"
CBN-PdlC-A1-20130903,"[1358197, 1392407, 1392608, 1392632, 1394540, 1395974, 1396857, 1397468, 1722444, 1737565, 1742052, 1743396]","[1392608, 1392626, 1392682, 1394336, 1395974, 1396417, 1396857, 1396869, 1701831, 1722444, 1742052]","[1392553, 1392608, 1394641, 1395974, 1395990, 1742052]","[1396869, 1395974, 1395990, 1392407, 1394336, 1743396, 1392553, 1392682, 1396417, 1701831, 1722444, 1394641, 1397468, 1737565, 1392608, 1742052, 1394540, 1392626, 1358197, 1392632, 1396857]"
CBN-PdlC-A1-20140721,"[1363741, 1390846]","[1361382, 1363741, 1364072, 1390641, 1394908, 1395718, 1396869, 1397535, 1558360, 1737656, 1743924]","[1355992, 1357142, 1357577, 1361373, 1361382, 1363550, 1363741, 1390898, 1393771, 1394289, 1394414, 1394908, 1394911, 1396471, 1396869, 1397046, 1397535, 1397942, 1398824, 1622908, 1743924]","[1396869, 1395718, 1357577, 1363741, 1397535, 1398824, 1390641, 1390898, 1743924, 1397046, 1397942, 1737656, 1357142, 1355992, 1558360, 1394908, 1361373, 1363550, 1394911, 1361382, 1364072, 1393771, 1394414, 1394289, 1396471, 1622908, 1390846]"
CBN-PdlC-A1-20140811,"[1392608, 1393824, 1396733, 1397528, 1412857, 1418612, 1519650, 1743913]","[1392608, 1395974, 1412857, 1743913]","[1356359, 1392608, 1395974, 1412857]","[1392608, 1393824, 1519650, 1395974, 1356359, 1743913, 1418612, 1397528, 1412857, 1396733]"
CBN-PdlC-A1-20140901,"[1356359, 1392608, 1393939, 1395718, 1395974, 1397485, 1737507, 1741767, 1742052]",[1392608],"[1392608, 1742052]","[1392608, 1737507, 1742052, 1395974, 1395718, 1356359, 1741767, 1397485, 1393939]"
CBN-PdlC-A1-20150701,[],"[1391331, 1391503, 1392608, 1394322, 1396144, 1396464, 1742052]","[1360299, 1391331, 1392608, 1394322, 1394641, 1395974, 1396253, 1397535, 1398824, 1412857, 1519650, 1741624, 1742052]","[1392608, 1519650, 1391331, 1742052, 1395974, 1398824, 1360299, 1391503, 1396144, 1396464, 1394322, 1394641, 1741624, 1412857, 1396253, 1397535]"
CBN-PdlC-A1-20150720,"[1355993, 1360654, 1363741, 1391331, 1392566, 1394540, 1394641, 1397500, 1397528, 1398824, 1400096, 1412857, 1697384]","[1355993, 1363622, 1392608, 1394540, 1397524, 1397535, 1412857, 1743304, 1743971]",[1397535],"[1360654, 1397524, 1397528, 1363741, 1397535, 1400096, 1363622, 1398824, 1392566, 1743304, 1394641, 1355993, 1392608, 1391331, 1743971, 1697384, 1394540, 1412857, 1397500]"
CBN-PdlC-A1-20150831,"[1519650, 1742052]","[1356356, 1360299, 1392608, 1392611, 1393619, 1393824, 1394643, 1398824, 1519650, 1628790, 1742052]","[1392608, 1394641, 1398824, 1412857, 1519650, 1742052]","[1392608, 1393824, 1519650, 1392611, 1742052, 1356356, 1398824, 1360299, 1394641, 1393619, 1394643, 1628790, 1412857]"
CBN-PdlC-A1-20160705,"[1389346, 1390846, 1394911, 1396417, 1398167, 1737669]","[1359342, 1360299, 1390846, 1392608, 1394336, 1394540, 1394908, 1394911, 1397535, 1412857, 1722437]","[1355993, 1358496, 1359632, 1360299, 1361079, 1362331, 1390793, 1392608, 1394336, 1394540, 1394613, 1394857, 1394911, 1395935, 1396869, 1397535, 1701831, 1722437, 1722444]","[1396869, 1359632, 1398167, 1362331, 1397535, 1394336, 1358496, 1389346, 1394857, 1360299, 1394613, 1361079, 1396417, 1737669, 1722437, 1701831, 1390793, 1722444, 1355993, 1394908, 1394911, 1392608, 1395935, 1394540, 1359342, 1412857, 1390846]"
CBN-PdlC-A1-20160726,"[1389771, 1390793, 1391331, 1392608, 1397535, 1412857, 1519650]","[1361389, 1391331, 1392608, 1394641, 1394908, 1396185, 1397046, 1491329, 1549015, 1737656, 1742052]","[1394641, 1412857, 1742052]","[1392608, 1491329, 1519650, 1391331, 1742052, 1390793, 1389771, 1396185, 1361389, 1394641, 1397046, 1549015, 1737656, 1412857, 1394908, 1397535]"
CBN-PdlC-A1-20170816,"[1363741, 1390793, 1392608, 1393340, 1395974, 1414365, 1558164, 1742052]","[1395974, 1742052]","[1392608, 1395974, 1742052]","[1392608, 1742052, 1395974, 1390793, 1558164, 1414365, 1393340, 1363741]"
CBN-PdlC-A1-20170906,[1390846],"[1390846, 1391331, 1394336, 1394540, 1398816, 1722437]","[1355992, 1394336, 1394613, 1412857]","[1394336, 1398816, 1391331, 1722437, 1394540, 1394613, 1355992, 1412857, 1390846]"
CBN-PdlC-A1-20180702,"[1357130, 1361382, 1363550, 1391331, 1397524, 1398824]",[1398824],[1398824],"[1391331, 1361382, 1398824, 1357130, 1397524, 1363550]"
CBN-PdlC-A1-20180815,"[1359511, 1393224, 1394554, 1396417]","[1359511, 1396253, 1743971]",[1398824],"[1396417, 1743971, 1393224, 1398824, 1359511, 1394554, 1396253]"
CBN-PdlC-A1-20180905,"[1356399, 1412857, 1651162]","[1356399, 1359835, 1363741, 1398824, 1412857, 1519650, 1742052, 1743971]","[1395974, 1412857]","[1519650, 1743971, 1742052, 1395974, 1398824, 1356399, 1412857, 1651162, 1359835, 1363741]"
CBN-PdlC-A1-20190701,"[1359665, 1390934, 1393946, 1396417, 1396869, 1397524, 1398824, 1503192, 1722437, 1722444, 1737655, 1741600, 1743913, 1743924]","[1355992, 1396417, 1396869, 1398824, 1722437, 1722444, 1743913, 1743924]","[1355992, 1394613, 1395974, 1398824, 1722444, 1743465, 1743913, 1743924]","[1741600, 1396417, 1396869, 1722437, 1395974, 1398824, 1743913, 1743465, 1722444, 1359665, 1397524, 1743924, 1390934, 1737655, 1503192, 1394613, 1393946, 1355992]"
CBN-PdlC-A1-20190722,"[1356356, 1357817, 1390846, 1395990, 1396869, 1397528, 1743645, 1743913, 1743924]","[1390846, 1396869, 1397524, 1743913, 1743924]","[1361079, 1396869, 1743913, 1743924]","[1356356, 1396869, 1743913, 1743924, 1397524, 1395990, 1361079, 1397528, 1357817, 1743645, 1390846]"
CBN-PdlC-A1-20190812,"[1355993, 1363741, 1390846, 1396417, 1397528, 1502503, 1722437, 1741706]","[1360299, 1390846, 1396869, 1519650]","[1355992, 1360243, 1361043, 1361708, 1363741, 1390846, 1392608, 1394540, 1398824, 1478563, 1519650, 1628790, 1743971, 1744194]","[1396869, 1741706, 1361043, 1397528, 1363741, 1519650, 1478563, 1502503, 1398824, 1360299, 1361708, 1396417, 1744194, 1722437, 1355992, 1355993, 1392608, 1743971, 1394540, 1360243, 1628790, 1390846]"
CBN-PdlC-A1-20190909,"[1355992, 1390793, 1392608, 1395974, 1737565]","[1361045, 1363333, 1390966, 1391494, 1392608, 1395974, 1396471, 1396974]","[1355928, 1356359, 1362745, 1390802, 1391331, 1392608, 1394641, 1396471, 1425936, 1495503]","[1363333, 1395974, 1391494, 1425936, 1361045, 1355928, 1362745, 1356359, 1390793, 1495503, 1394641, 1390802, 1355992, 1737565, 1392608, 1391331, 1396974, 1390966, 1396471]"
CBN-PdlC-A1-20200629,"[1361528, 1391511, 1396417, 1701831, 1722437, 1743396, 1743913]","[1355992, 1361079, 1390846, 1394336, 1394565, 1396417, 1398816, 1399096, 1722437, 1722444, 1743396, 1743913, 1743924]","[1361079, 1361528, 1394336, 1396417, 1399096, 1722437]","[1394336, 1396417, 1398816, 1399096, 1743396, 1722437, 1394565, 1701831, 1743913, 1722444, 1743924, 1391511, 1361528, 1361079, 1390846, 1355992]"
CBN-PdlC-A1-20200722,"[1355993, 1392608, 1394540, 1396417, 1397046, 1549015, 1722437, 1722444, 1742052]","[1392608, 1549015, 1742052]","[1395974, 1549015, 1742052]","[1392608, 1396417, 1742052, 1722437, 1395974, 1394540, 1722444, 1397046, 1549015, 1355993]"
CBN-PdlC-A1-20200812,"[1355993, 1396417, 1426085, 1512231]","[1355992, 1355993, 1357526, 1360299, 1363741, 1396307, 1398824, 1495503]","[1355992, 1359511, 1359835, 1360299, 1392553, 1392608, 1394540, 1394999, 1396307, 1398824, 1402995, 1502503, 1512231, 1517561, 1628790]","[1359511, 1363741, 1426085, 1512231, 1398824, 1392553, 1502503, 1360299, 1394999, 1396417, 1495503, 1396307, 1357526, 1355992, 1355993, 1359835, 1392608, 1394540, 1402995, 1628790, 1517561]"
CBN-PdlC-A2-20130807,"[1356356, 1356370, 1360591, 1362228, 1391494, 1392767, 1395990, 1396030, 1396471, 1396737, 1396857, 1396869, 1397468, 1412857, 1489036, 1741624, 1741880]","[1356370, 1360591, 1361079, 1390846, 1394322, 1396471, 1396737, 1396869, 1397468, 1412857]","[1396471, 1396737, 1396869, 1397468]","[1396737, 1396869, 1391494, 1489036, 1394322, 1395990, 1362228, 1361079, 1741624, 1741880, 1396030, 1356356, 1360591, 1356370, 1397468, 1396857, 1396471, 1412857, 1390846, 1392767]"
CBN-PdlC-A2-20130903,"[1393830, 1394895, 1395868, 1395974, 1395990, 1396737, 1437724, 1744541]","[1394895, 1395974, 1396471]","[1361079, 1394336, 1395974, 1396417, 1396471, 1396737, 1396869, 1722444, 1743924]","[1394336, 1396737, 1396417, 1396869, 1395974, 1393830, 1722444, 1437724, 1394895, 1743924, 1395990, 1396471, 1361079, 1395868, 1744541]"
CBN-PdlC-A2-20140721,"[1396737, 1743913]",[1396737],"[1356370, 1363741, 1390846, 1394336, 1396737, 1396869, 1743924, 1744235]","[1394336, 1396737, 1396869, 1743913, 1744235, 1356370, 1743924, 1363741, 1390846]"
CBN-PdlC-A2-20140901,"[1360312, 1390539, 1394789, 1396737, 1412857, 1723120, 1742099]","[1394322, 1394895, 1395974, 1395990, 1396869, 1741805]","[1395990, 1396869]","[1396737, 1394789, 1395974, 1396869, 1390539, 1741805, 1394895, 1723120, 1394322, 1742099, 1395990, 1360312, 1412857]"
CBN-PdlC-A2-20150720,"[1393824, 1394540, 1395974, 1395990, 1396737, 1396869, 1397524, 1398824, 1412857]",[1397528],"[1393824, 1395974, 1396737, 1396869]","[1393824, 1396737, 1396869, 1395974, 1398824, 1394540, 1397524, 1395990, 1397528, 1412857]"
CBN-PdlC-A2-20150810,"[1395974, 1396737]","[1359723, 1393200, 1394908, 1395974, 1412857, 1741624]","[1395974, 1412857]","[1396737, 1395974, 1359723, 1393200, 1741624, 1412857, 1394908]"
CBN-PdlC-A2-20150831,"[1395807, 1396737, 1412857]","[1395974, 1412857]","[1395974, 1412857]","[1396737, 1412857, 1395974, 1395807]"
CBN-PdlC-A2-20160705,"[1356370, 1390641, 1396737, 1609716, 1741805, 1743913]","[1361079, 1393314, 1394336, 1394613, 1396471, 1396737, 1412857, 1722444, 1743924]","[1356370, 1361079, 1393314, 1394336, 1394613, 1395974, 1397535, 1412857, 1722444, 1743913, 1743924]","[1394336, 1396737, 1393314, 1395974, 1743913, 1396471, 1722444, 1741805, 1390641, 1356370, 1609716, 1394613, 1743924, 1361079, 1412857, 1397535]"
