"quadrat_id","species_ids"
"2024-CEV3-20240602","[1360307, 1362443, 1395990, 1362443, 1398272, 1395045, 1363901, 1360187, 1360193, 1360208, 1360217, 1360203, 1360307]"
"CBN-PdlC-A1-20130807","[1396471, 1741624, 1396471, 1397468, 1396471, 1396869, 1742114, 1396185, 1742052, 1360591, 1396185, 1361079, 1396471, 1396869, 1743924, 1393314, 1397439, 1358496, 1361077, 1722440, 1392608]"
"CBN-PdlC-A1-20130903","[1396869, 1396857, 1392626, 1742052, 1742052, 1395974, 1392682, 1701831, 1394336, 1722444, 1392608, 1394336, 1396417, 1701831, 1722444]"
"CBN-PdlC-A1-20140721","[1363741, 1394908, 1397535, 1390641, 1737656, 1395718, 1364072, 1361382, 1558360, 1743924, 1396869]"
"CBN-PdlC-A1-20140811","[1412857, 1390793, 1412857, 1395974, 1743913, 1395974, 1392608, 1743913, 1392608, 1392608]"
"CBN-PdlC-A1-20140901","[1356359, 1558164, 1742052, 1391120, 1394895, 1392608, 1394866, 1741767, 1395063, 1361576, 1358496, 1392608, 1392608, 1361091, 1391840]"
"CBN-PdlC-A1-20150701","[1391331, 1742052, 1396144, 1398167, 1394322, 1391503, 1392608, 1396464]"
"CBN-PdlC-A1-20150720","[1397524, 1743971, 1363622, 1397535, 1412857, 1394540, 1743304, 1355993, 1392608]"
"CBN-PdlC-A1-20150831","[1742052, 1628790, 1519650, 1393824, 1393619, 1394643, 1742052, 1356356, 1392611, 1398824, 1360299, 1392608, 1392611]"
"CBN-PdlC-A1-20160705","[1394908, 1394911, 1394540, 1397535, 1390846, 1394336, 1722437, 1412857, 1359342, 1360299, 1392608]"
"CBN-PdlC-A1-20160726","[1391331, 1394908, 1397046, 1549015, 1394641, 1742052, 1396185, 1361389, 1737656, 1392608, 1392608, 1491329]"
"CBN-PdlC-A1-20170816","[1356359, 1741706, 1742052, 1394641, 1742052, 1742052, 1395974, 1412857, 1395974, 1363741, 1392608]"
"CBN-PdlC-A1-20170906","[1394999, 1394540, 1396253, 1397468, 1743971, 1426085, 1390898, 1418612, 1391331, 1519650, 1359511, 1391331, 1651162, 1394336, 1396869, 1398816, 1742052, 1394540, 1412857, 1394336, 1394613, 1398816, 1701831, 1722437, 1743913, 1743924, 1390846, 1356359, 1390846, 1392608, 1394840, 1396417, 1722437, 1741834, 1390846, 1664563]"
"CBN-PdlC-A1-20180702","[1397524, 1398824, 1398824, 1361382, 1398824]"
"CBN-PdlC-A1-20180815","[1396253, 1743971, 1359511]"
"CBN-PdlC-A1-20180905","[1519650, 1363741, 1519650, 1742052, 1743971, 1359835, 1356399, 1412857, 1395974, 1398824]"
"CBN-PdlC-A1-20190701","[1701506, 1743465, 1355992, 1357988, 1359945, 1361079, 1361402, 1391511, 1394565, 1396417, 1396471, 1396869, 1397942, 1502503, 1722437, 1743396, 1743924, 1355992, 1722437, 1722444, 1743924, 1394336, 1394613, 1396417, 1396869, 1701831, 1722437, 1722444, 1743913, 1743924, 1395974, 1743913, 1398824, 1398824]"
"CBN-PdlC-A1-20190722","[1395990, 1397524, 1355992, 1357081, 1359357, 1361079, 1362348, 1396869, 1410243, 1502503, 1741834, 1743924, 1519650, 1390846, 1396869, 1396869, 1743913, 1360981, 1512231, 1390846, 1394613, 1743913, 1743924, 1396417, 1397524, 1392611]"
"CBN-PdlC-A1-20190812","[1519650, 1425936, 1519650, 1743971, 1628790, 1742052, 1412857, 1360299, 1392608, 1390846, 1361079, 1390846, 1396869, 1390846, 1396869, 1360299, 1392611, 1512231]"
"CBN-PdlC-A1-20190909","[1396471, 1396974, 1361045, 1390966, 1390966, 1395974, 1391494, 1395974, 1363333, 1392608, 1392608]"
"CBN-PdlC-A1-20200629","[1361528, 1355992, 1361079, 1390846, 1394336, 1396417, 1396471, 1722444, 1743924, 1355992, 1361079, 1390846, 1394336, 1394565, 1396417, 1398816, 1399096, 1478563, 1503192, 1722437, 1722444, 1743396, 1743913, 1743924, 1361079, 1390846, 1394565, 1396417, 1398816, 1399096, 1701831, 1722437, 1743396, 1743913, 1361079, 1396417, 1399096, 1722437, 1722444, 1741834, 1743913, 1743924]"
"CBN-PdlC-A1-20200722","[1742052, 1397524, 1392534, 1392553, 1549015, 1392549, 1397046, 1549015, 1394908, 1395531, 1742052, 1392408, 1412857, 1395974, 1392608, 1392608, 1392608, 1512231, 1396417, 1722437, 1722444]"
"CBN-PdlC-A1-20200812","[1363741, 1396307, 1495503, 1360299, 1357526, 1355992, 1355993]"
"CBN-PdlC-A2-20130807","[1361079, 1390785, 1396471, 1396869, 1396869, 1396857, 1397468, 1361079, 1396471, 1722444, 1743256, 1397468, 1360591, 1395990, 1412857, 1741880, 1360591, 1394322, 1396097, 1396185, 1394322, 1355992, 1356669, 1361079, 1390846, 1393314, 1396471, 1396869, 1666569, 1701831, 1743247, 1743924, 1356370, 1396737, 1397468, 1359921, 1388915, 1397439, 1412857, 1390846, 1396471, 1396869, 1508026, 1356399, 1356370, 1396737, 1396737, 1742052]"
"CBN-PdlC-A2-20130903","[1356564, 1395718, 1396471, 1396869, 1701831, 1394895, 1395974, 1743465, 1396737, 1394613, 1396471, 1722444, 1743913, 1743924, 1394895, 1395974, 1356370, 1395974, 1437724]"
"CBN-PdlC-A2-20140721","[1744235, 1356442, 1396737, 1356370, 1743337, 1396737, 1357577, 1390846, 1393314, 1743422, 1396737, 1396737, 1720959, 1396869, 1743924, 1743913]"
"CBN-PdlC-A2-20140901","[1395990, 1738627, 1412857, 1742052, 1394322, 1395990, 1396869, 1394322, 1396869, 1395974, 1741805, 1394895, 1395974, 1741805, 1395974, 1394895, 1356370, 1396869, 1396471, 1722444]"
"CBN-PdlC-A2-20150720","[1396858, 1396869, 1391313, 1393824, 1394999, 1397528, 1394540, 1412857, 1398569, 1418211, 1423209, 1396094, 1397528, 1503192, 1396737, 1356356, 1395974, 1356871, 1398824, 1397528]"
"CBN-PdlC-A2-20150810","[1394908, 1412857, 1393200, 1741624, 1412857, 1395974, 1359723]"
"CBN-PdlC-A2-20150831","[1395990, 1512231, 1742052, 1412857, 1741624, 1395974, 1392535, 1412857, 1412857, 1412857, 1395974, 1395807, 1356370, 1391480, 1396249, 1743924, 1395974, 1395974, 1396737]"
"CBN-PdlC-A2-20160705","[1394322, 1395990, 1362331, 1394540, 1396094, 1412857, 1397535, 1400110, 1412857, 1412857, 1393314, 1392388, 1394336, 1394613, 1396869, 1398816, 1503192, 1722444, 1743913, 1743924, 1743422, 1394336, 1394613, 1396471, 1722444, 1743924, 1356370, 1743337, 1396737, 1396737, 1360676, 1393224, 1361079, 1390898, 1393314, 1394336, 1396471, 1743924, 1395974, 1741805, 1393314, 1361079, 1394336, 1396471, 1502503]"
"CBN-PdlC-A2-20160726","[1519650, 1742052, 1393200, 1396869, 1412857, 1396869, 1356356, 1741880, 1396869, 1743913, 1395974, 1390846, 1396869, 1741706, 1743924, 1395974, 1743337, 1395974, 1396869]"
"CBN-PdlC-A2-20170816","[1478563, 1425936, 1742052, 1393200, 1412857, 1394643, 1742052, 1396869, 1395974, 1396417, 1395974, 1395974, 1741805, 1356871, 1361079]"
"CBN-PdlC-A2-20180702","[1361617, 1722444, 1512231, 1394336, 1396869, 1398816, 1722437, 1722444, 1743913, 1398824, 1394336, 1396869, 1398816, 1722437, 1722444, 1743913, 1743924, 1395974, 1396737, 1356370, 1390846, 1394336, 1394613, 1396417, 1396869, 1398816, 1722437, 1722444, 1743396, 1743913, 1743924, 1741805, 1355992, 1357988, 1391511, 1394336, 1394613, 1396417, 1503192, 1737494, 1743396, 1743924, 1395974, 1395974, 1394336, 1394613, 1396417, 1502503, 1722444]"
"CBN-PdlC-A2-20180723","[1396869, 1396869, 1742052, 1393200, 1359523, 1393200, 1391331, 1743913, 1743913, 1743397, 1359162, 1356871, 1390934, 1396869, 1502503]"
"CBN-PdlC-A2-20180815","[1396869, 1410243, 1502503, 1363741, 1357988, 1364038, 1363741, 1356370, 1394336, 1396869, 1737508, 1396869]"
"CBN-PdlC-A2-20180905","[1396857, 1396869, 1410243, 1396869, 1395990, 1361079, 1743924, 1393824, 1394336, 1426085, 1412857, 1394336, 1394613, 1396869, 1743913, 1743924, 1394613, 1396869, 1743913, 1743924, 1395974, 1356871, 1355992, 1357988, 1361079, 1390934, 1392388, 1394336, 1396417, 1396869, 1478563, 1503192, 1722437, 1722444, 1743396, 1743913, 1743924]"
"CBN-PdlC-A2-20190701","[1356424, 1737655, 1395974, 1395974, 1398824, 1392388, 1396869, 1478563, 1722444, 1743913, 1743924]"
